species,X,Y
Aedes aegypti,-5135111.277006963,-4214050.9872393925
Aedes aegypti,-5193226.581310443,-4176182.6798712024
Aedes aegypti,-5832126.917222056,-3807287.6516554896
Aedes aegypti,-5833397.425929958,-3797972.8836883144
Aedes aegypti,-5605726.536942846,-3282464.648103273
Aedes aegypti,-5184453.21911452,-4178479.348496447
Aedes aegypti,-6088365.662327573,-2760483.56509668
Aedes aegypti,-6090925.440424424,-2728085.92928837
Aedes aegypti,-6092740.060798127,-2702871.291891409
Aedes aegypti,-5831621.489426634,-3814271.7601159103
Aedes aegypti,-5822926.194464351,-3813107.859327255
Aedes aegypti,-5832261.932602201,-3809615.8754055984
Aedes aegypti,-5839395.497271561,-3807287.6516554896
Aedes aegypti,-5827061.646792956,-3806123.4694879493
Aedes aegypti,-5838216.317501613,-3802630.6420081975
Aedes aegypti,-5830945.811502234,-3802630.6420081975
Aedes aegypti,-5490548.870034705,-3345134.750002376
Aedes aegypti,-5129973.518942957,-3127088.33262881
Aedes aegypti,-5130239.833849457,-3125899.717153606
Aedes aegypti,-5132386.381542273,-3124711.063928323
Aedes aegypti,-5130506.042146214,-3124711.063928323
Aedes aegypti,-5131446.211844244,-3124711.063928323
Aedes aegypti,-5130772.143836725,-3123522.3729683827
Aedes aegypti,-6120551.670063715,-2831194.0894920025
Aedes aegypti,-6121786.146389159,-2829996.5822339994
Aedes aegypti,-6089866.399124598,-2758084.563304923
Aedes aegypti,-5197169.781704362,-4175034.267467731
Aedes aegypti,-5131179.954764584,-3125899.717153606
Aedes aegypti,-6090248.371193381,-2696865.699283921
Aedes aegypti,-5194114.919760889,-4176182.6798712024
Aedes aegypti,-5122462.009177679,-3168665.9717871845
Aedes aegypti,-5122732.156618256,-3167478.687289923
Aedes aegypti,-5435610.376969104,-3086654.3209390887
Aedes aegypti,-5193656.885089458,-4185368.1037273947
Aedes aegypti,-5194394.965276741,-4172737.286561794
Aedes aegypti,-5830309.772209679,-3807287.6516554896
Aedes aegypti,-5831082.454925039,-3804959.2404801757
Aedes aegypti,-6052079.375032006,-3799137.3934001196
Aedes aegypti,-5591443.9819728425,-3789820.008226712
Aedes aegypti,-5499119.777992438,-3538324.2267819494
Aedes aegypti,-5971144.476211969,-3382918.206980565
Aedes aegypti,-6093018.66888026,-3282464.648103273
Aedes aegypti,-5140489.572436356,-3268259.5882486613
Aedes aegypti,-6144657.776612381,-2912544.0998826628
Aedes aegypti,-6120834.524106183,-2829996.5822339994
Aedes aegypti,-6086322.4396341145,-2756885.0128420745
Aedes aegypti,-6089025.674811909,-2698066.8823996573
Aedes aegypti,-5122873.079738055,-3162729.1665499713
Aedes aegypti,-5834144.680581489,-4671700.30946609
Aedes aegypti,-5147698.0108751515,-4208317.032334666
Aedes aegypti,-5215612.737764211,-4170440.0976341115
Aedes aegypti,-6089137.412739066,-2723284.2473797477
Aedes aegypti,-5092716.944575718,-4323885.461400794
Aedes aegypti,-6086358.0804538205,-3272995.243253638
Aedes aegypti,-5076364.077904948,-4347845.677830112
Aedes aegypti,-6121564.017234604,-3335682.366543758
Aedes aegypti,-6115486.144497938,-3330955.2024266897
Aedes aegypti,-5135607.151398637,-4215197.620481305
Aedes aegypti,-5191667.073953816,-4180775.8087691437
Aedes aegypti,-5189283.7954043215,-4177331.040219622
Aedes aegypti,-5706190.360765871,-3923466.5605251505
Aedes aegypti,-5484773.698423623,-3845679.2805747655
Aedes aegypti,-5830445.028573353,-3809615.8754055984
Aedes aegypti,-5834194.863228567,-3803794.9646482347
Aedes aegypti,-6150913.100710599,-3575886.4496584777
Aedes aegypti,-5499377.389189237,-3540673.166899282
Aedes aegypti,-6087048.332754668,-3464244.829933636
Aedes aegypti,-6087763.863677695,-3461890.3391448488
Aedes aegypti,-5119042.893296404,-3394716.9261372974
